name,better,parallax,parallaxPath,xallarap,xallarapPath,deltaChi
PAR-13-noaver.dat,R/parallax,650.4326,../sim_PAR/parallax/PAR-13-noaver.dat-.OUT,659.3618,../sim_PAR/xallarap/PAR-13-noaver.dat.6.OUT,0.0
PAR-14-noaver.dat,R/xallarap,7569.8881,../sim_PAR/parallax/PAR-14-noaver.dat+.OUT,7491.7685,../sim_PAR/xallarap/PAR-14-noaver.dat.7.OUT,78.11959999999999
PAR-15-noaver.dat,R/xallarap,1777.7587,../sim_PAR/parallax/PAR-15-noaver.dat+.OUT,1752.4836,../sim_PAR/xallarap/PAR-15-noaver.dat.4.OUT,25.275100000000066
PAR-16-noaver.dat,R/parallax,2805.2065,../sim_PAR/parallax/PAR-16-noaver.dat-.OUT,2912.8674,../sim_PAR/xallarap/PAR-16-noaver.dat.4.OUT,0.0
PAR-17-noaver.dat,R/parallax,1902.1909,../sim_PAR/parallax/PAR-17-noaver.dat-.OUT,1909.0504,../sim_PAR/xallarap/PAR-17-noaver.dat.4.OUT,0.0
PAR-18-noaver.dat,R/parallax,11873.4581,../sim_PAR/parallax/PAR-18-noaver.dat-.OUT,11858.5173,../sim_PAR/xallarap/PAR-18-noaver.dat.9.OUT,0.0
PAR-19-noaver.dat,R/parallax,2769.8416,../sim_PAR/parallax/PAR-19-noaver.dat+.OUT,2771.9597,../sim_PAR/xallarap/PAR-19-noaver.dat.3.OUT,0.0
PAR-20-noaver.dat,R/parallax,1369.6705,../sim_PAR/parallax/PAR-20-noaver.dat-.OUT,1387.5408,../sim_PAR/xallarap/PAR-20-noaver.dat.9.OUT,0.0
PAR-21-noaver.dat,R/parallax,1179.2473,../sim_PAR/parallax/PAR-21-noaver.dat+.OUT,1173.7032,../sim_PAR/xallarap/PAR-21-noaver.dat.1.OUT,0.0
PAR-22-noaver.dat,R/parallax,459.8964,../sim_PAR/parallax/PAR-22-noaver.dat+.OUT,461.9989,../sim_PAR/xallarap/PAR-22-noaver.dat.9.OUT,0.0
